Age,Job,Saving accounts,Credit amount,Duration,Sex_female,Sex_male,Housing_free,Housing_own,Housing_rent,Purpose_business,Purpose_car,Purpose_education,Purpose_furniture/equipment,Purpose_others,Purpose_radio/TV
0.0535714285714286,2,0,0.7775504637206764,0.6470588235294117,True,False,False,True,False,False,False,False,False,False,True
0.5357142857142858,1,0,0.25177304964539005,0.1176470588235294,False,True,False,True,False,False,False,True,False,False,False
0.6071428571428572,2,0,0.630114566284779,0.2941176470588235,False,True,True,False,False,False,True,False,False,False,False
0.6071428571428572,2,3,0.35256410256410253,0.2941176470588235,False,True,False,True,False,False,False,False,True,False,False
0.28571428571428575,3,0,0.9135297326786688,0.47058823529411764,False,True,False,False,True,False,True,False,False,False,False
0.75,1,2,0.3831151118385161,0.1176470588235294,False,True,False,True,False,False,False,False,False,False,True
0.16071428571428575,3,0,0.679759956355701,0.38235294117647056,False,True,False,True,False,False,True,False,False,False,False
0.10714285714285715,2,0,0.1425259138025095,0.1176470588235294,True,False,False,False,True,False,True,False,False,False,False
0.0892857142857143,2,0,0.5534642662302236,0.6470588235294117,True,False,False,False,True,True,False,False,False,False,False
0.0535714285714286,2,0,0.17962356792144024,0.1176470588235294,True,False,False,True,False,False,False,False,False,False,True
0.7321428571428572,1,0,0.12943262411347517,0.2941176470588235,False,True,False,True,False,False,True,False,False,False,False
0.16071428571428575,2,0,0.15725586470267322,0.16176470588235292,True,False,False,False,True,False,True,False,False,False,False
0.23214285714285715,1,1,0.14075286415711946,0.2941176470588235,True,False,False,True,False,False,False,False,False,False,True
0.21428571428571425,2,3,0.43371522094926346,0.2941176470588235,False,True,False,True,False,False,False,False,False,False,True
0.5178571428571428,2,0,0.2569558101472995,0.07352941176470588,False,True,False,True,False,False,True,False,False,False,False
0.44642857142857145,2,3,0.3269230769230769,0.029411764705882346,False,True,False,False,True,False,False,False,False,False,True
0.5178571428571428,1,0,0.2715493726132024,0.08823529411764706,False,True,False,False,True,False,True,False,False,False,False
0.44642857142857145,2,1,0.21194762684124385,0.1176470588235294,False,True,False,True,False,False,True,False,False,False,False
0.30357142857142855,1,0,0.15330060010911073,0.029411764705882346,False,True,False,True,False,False,False,False,True,False,False
0.35714285714285715,1,0,0.02400436442989634,0.029411764705882346,False,True,False,True,False,False,False,False,False,False,True
0.41071428571428575,2,2,0.02168576104746317,0.1176470588235294,True,False,False,False,True,False,False,False,False,False,True
0.26785714285714285,2,0,0.29528096017457717,0.044117647058823525,False,True,False,True,False,False,False,False,False,False,True
0.7857142857142858,2,0,0.898254228041462,0.8235294117647058,False,True,False,True,False,True,False,False,False,False,False
